ged	gold	id	normalized_exact_match	prediction	question
0.34798534798534797	left image @@SEP@@ right image @@SEP@@ combat golf balls in @@1@@ @@SEP@@ combat golf balls in @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to @@6@@	NLVR2_train_train-11100-3-0	False	the left image @@SEP@@ the right image @@SEP@@ combat golf balls in @@1@@ @@SEP@@ combat golf balls in @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ sum of @@5@@ and @@6@@ @@SEP@@ if @@7@@ is equal to combat golf balls @@SEP@@ if both @@4@@ and @@8@@ are true	If the left and right image contains the same number of combat golf balls.
0.4265734265734266	flights @@SEP@@ @@1@@ from pittsburgh @@SEP@@ @@2@@ to atlanta @@SEP@@ @@3@@ on wednesday @@SEP@@ @@4@@ that leave before noon @@SEP@@ @@5@@ which serve breakfast	ATIS_train_1873	False	flights @@SEP@@ @@1@@ from pittsburgh @@SEP@@ @@2@@ to atlanta @@SEP@@ @@3@@ that leave before noon and serve breakfast	show me all all flights from pittsburgh to atlanta on wednesday which leave before noon and serve breakfast 
0.0	pyramid shapes @@SEP@@ number of @@1@@	CLEVR_train_7357	True	pyramid shapes @@SEP@@ number of @@1@@	How many pyramid shapes are there?
0.5	objects @@SEP@@ @@1@@ that is in the back of the frame	CLEVR_train_3402	True	object @@SEP@@ @@1@@ that is in the back of the frame @@SEP@@ object @@SEP@@ @@1@@ that is in the back of the frame	What object is in the back of the frame?
0.2812674504982197	image on the left @@SEP@@ pandas in @@1@@ @@SEP@@ the grass @@SEP@@ @@2@@ sitting in @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to one	NLVR2_train_train-4192-0-0	False	the image on the left @@SEP@@ pandas in @@1@@ @@SEP@@ grass in @@1@@ @@SEP@@ if @@2@@ is in grass in @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is in grass in @@3@@	If there is a single panda sitting in the grass in the image on the left.
0.29370370370370374	right image @@SEP@@ left image @@SEP@@ animals of @@1@@ @@SEP@@ animals of @@2@@ @@SEP@@ the number of @@3@@ @@SEP@@ the number of @@4@@ @@SEP@@ if @@5@@ is higher than @@6@@	NLVR2_train_train-13014-1-1	False	the image on the right @@SEP@@ animals @@SEP@@ @@2@@ in @@1@@ @@SEP@@ @@2@@ besides @@3@@ @@SEP@@ the number of @@3@@ @@SEP@@ the number of @@4@@ @@SEP@@ if @@5@@ is higher than @@6@@	If there are more animals in the image on the right than in the image on the left.
0.12222222222222223	movies @@SEP@@ @@1@@ with rating R @@SEP@@ titles of @@2@@	SPIDER_train_2973	False	movies @@SEP@@ @@1@@ that have an R rating @@SEP@@ the titles of @@2@@	Return the titles of any movies with an R rating.
0.9613837489943685	flights @@SEP@@ @@1@@ on united airlines @@SEP@@ @@2@@ that go through denver	ATIS_train_623	False	flights @@SEP@@ @@1@@ on united airlines @@SEP@@ @@2@@ on united airlines @@SEP@@ @@3@@ on united airlines @@SEP@@ @@4@@ on united airlines @@SEP@@ @@5@@ on united airlines @@SEP@@ @@6@@ on united airlines @@SEP@@ @@7@@ on united airlines @@SEP@@ @@8@@ on united airlines @@SEP@@ @@9@@ on united airlines @@SEP@@ @@10@@ on united airlines @@SEP@@ @@11@@ on united airlines @@SEP@@ @@12@@ on united airlines @@SEP@@ @@13@@ on united airlines @@SEP@@ @@14@@ on united airlines @@SEP@@ @@15@@ on united airlines @@SEP@@ @@16@@ on united airlines @@SEP@@ @@17@@ on united airlines @@SEP@@ @@18@@ on united airlines @@SEP@@ @@19@@ on united airlines @@SEP@@ @@20@@ on united airlines @@SEP@@ @@21@@ on united airlines @@SEP@@ @@22@@ on united airlines @@SEP@@ @@23@@ on united airlines @@SEP@@ @@24@@ on united airlines @@SEP@@ @@25@@ on united airlines @@SEP@@ @@26@@ on united airlines @@SEP@@ @@27@@ on united airlines @@SEP@@ @@28@@ on united airlines @@SEP@@ @@29@@ on united airlines @@SEP@@ @@30@@ on united airlines @@SEP@@ @@31@@ on united airlines @@SEP@@ @@32@@ on united airlines @@SEP@@ @@33@@ on united airlines @@SEP@@ @@34@@ on united airlines @@SEP@@ @@35@@ on united airlines @@SEP@@ @@36@@ on united airlines @@SEP@@ @@37@@ on united airlines @@SEP@@ @@38@@ on united airlines @@SEP@@ @@39@@ on united airlines @@SEP@@ @@40@@ on united airlines @@SEP@@ @@41@@ on united airlines @@SEP@@ @@42@@ on united airlines @@SEP@@ @@43@@ on united airlines @@SEP@@ @@44@@ on united airlines @@SEP@@ @@45@@ on united airlines @@SEP@@ @@46@@ on united airlines @@SEP@@ @@47@@ on united airlines @@SEP@@ @@48@@ on united airlines @@SEP@@ @@49@@ on united airlines @@SEP@@ @@50@@ on united airlines @@SEP@@ @@51@@ on united airlines @@SEP@@ @@52@@ on united airlines @@SEP@@ @@53@@ on united airlines @@SEP@@ @@54@@ on united airlines @@SEP@@ @@55@@ on united airlines @@SEP@@ @@56@@ on	which united airlines flights go through denver 
0.5068027210884354	artists @@SEP@@ @@1@@ who nominated for Khloe & Lamar @@SEP@@ years that @@2@@ play for the Clippers	CWQ_train_WebQTrn-1689_a3b28063f6e86f074de64b6e1260fcfe	False	years @@SEP@@ @@1@@ that Lamar Odom play @@SEP@@ @@2@@ that are for the Clippers @@SEP@@ @@3@@ that are before 2002	In what years did the artist nominated for the Khloe & Lamar award play for the Clippers?
0.0	flights @@SEP@@ @@1@@ on northwest @@SEP@@ @@2@@ with stops in denver	ATIS_train_2081	True	flights @@SEP@@ @@1@@ on northwest @@SEP@@ @@2@@ with stops in denver	northwest flights with stops in denver 
0.013888888888888888	small objects @@SEP@@ big things @@SEP@@ material of @@1@@ @@SEP@@ material of @@2@@ @@SEP@@ is @@3@@ the same as @@4@@	CLEVR_train_3058	True	small objects @@SEP@@ big things @@SEP@@ materials of @@1@@ @@SEP@@ material of @@2@@ @@SEP@@ are all of @@3@@ the same as @@4@@	Are the small objects the same material as the big things?
0.2492063492063492	back-to-back wins @@SEP@@ @@1@@ of the Warrior @@SEP@@ @@1@@ of the Utah Jazz @@SEP@@ number of @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ which is highest of @@4@@ , @@5@@	DROP_train_history_2582_ab89f351-b8f4-4c3a-98f8-637bf6ec0779	False	the Warriors @@SEP@@ back-to-back wins of @@1@@ @@SEP@@ back-to-back wins of @@1@@ @@SEP@@ number of @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ the difference of @@4@@ and @@5@@	Which team had more back-to-back wins, the Warrior or the Utah Jazz?
0.08641975308641975	flights @@SEP@@ @@1@@ from dallas @@SEP@@ @@2@@ to baltimore @@SEP@@ @@3@@ on august third @@SEP@@ @@4@@ that are available	ATIS_train_1941	False	flights @@SEP@@ @@1@@ from dallas @@SEP@@ @@2@@ to baltimore @@SEP@@ @@3@@ on august third @@SEP@@ number of @@4@@	show me the flights available from dallas to baltimore august third 
0.49000000000000005	objects @@SEP@@ @@1@@ that are metallic @@SEP@@ @@1@@ besides @@2@@ @@SEP@@ number of @@3@@	CLEVR_train_17638	False	objects @@SEP@@ @@1@@ that are metallic @@SEP@@ number of @@2@@ @@SEP@@ number of @@1@@ @@SEP@@ difference of @@3@@ and @@4@@	how many objects are left if all the metallic ones are removed?
